"Heure";"Latence la plus élevée pour esxi-2.infra.vinc.stage";"Utilisation pour esxi-2.infra.vinc.stage"
"2024-03-18T06:30:00.000Z";;
"2024-03-18T07:00:00.000Z";;
"2024-03-18T07:30:00.000Z";;
"2024-03-18T08:00:00.000Z";0;
"2024-03-18T08:30:00.000Z";0;7230
"2024-03-18T09:00:00.000Z";0;20889
"2024-03-18T09:30:00.000Z";0;23148
"2024-03-18T10:00:00.000Z";0;82453
"2024-03-18T10:30:00.000Z";0;60350
"2024-03-18T11:00:00.000Z";0;142793
"2024-03-18T11:30:00.000Z";0;73167
"2024-03-18T12:00:00.000Z";0;85796
"2024-03-18T12:30:00.000Z";0;195905
"2024-03-18T13:00:00.000Z";0;361012
"2024-03-18T13:30:00.000Z";0;649601
"2024-03-18T14:00:00.000Z";0;1100595
"2024-03-18T14:30:00.000Z";0;1106874
"2024-03-18T15:00:00.000Z";0;467160
"2024-03-18T15:30:00.000Z";0;47263
"2024-03-18T16:00:00.000Z";;
"2024-03-18T16:30:00.000Z";;
"2024-03-18T17:00:00.000Z";;
"2024-03-18T17:30:00.000Z";;
"2024-03-18T18:00:00.000Z";;
"2024-03-18T18:30:00.000Z";;
"2024-03-18T19:00:00.000Z";;
"2024-03-18T19:30:00.000Z";;
"2024-03-18T20:00:00.000Z";;
"2024-03-18T20:30:00.000Z";;
"2024-03-18T21:00:00.000Z";;
"2024-03-18T21:30:00.000Z";;
"2024-03-18T22:00:00.000Z";;
"2024-03-18T22:30:00.000Z";;
"2024-03-18T23:00:00.000Z";;
"2024-03-18T23:30:00.000Z";;
"2024-03-19T00:00:00.000Z";;
"2024-03-19T00:30:00.000Z";;
"2024-03-19T01:00:00.000Z";;
"2024-03-19T01:30:00.000Z";;
"2024-03-19T02:00:00.000Z";;
"2024-03-19T02:30:00.000Z";;
"2024-03-19T03:00:00.000Z";;
"2024-03-19T03:30:00.000Z";;
"2024-03-19T04:00:00.000Z";;
"2024-03-19T04:30:00.000Z";;
"2024-03-19T05:00:00.000Z";;
"2024-03-19T05:30:00.000Z";;
"2024-03-19T06:00:00.000Z";;
"2024-03-19T06:30:00.000Z";;
"2024-03-19T07:00:00.000Z";;
"2024-03-19T07:30:00.000Z";;
"2024-03-19T08:00:00.000Z";0;94683
"2024-03-19T08:30:00.000Z";0;14820
"2024-03-19T09:00:00.000Z";0;1381
"2024-03-19T09:30:00.000Z";0;965
"2024-03-19T10:00:00.000Z";;
"2024-03-19T10:30:00.000Z";;
